locality,bhk,affordability_score,AQI_Score,Livability_Score
Akurdi,1bhk,79.17,0.6,47.742000000000004
Alandi,1bhk,93.75,0.6,56.49
Alandi Road,1bhk,87.5,0.6,52.74
Ambegaon Bk,1bhk,93.75,0.6,56.49
Ambegaon Budruk,1bhk,85.42,0.6,51.492000000000004
Aundh,1bhk,41.67,0.6,25.241999999999997
Balewadi,1bhk,39.58,0.6,23.987999999999996
Baner,1bhk,35.42,0.6,21.491999999999997
Bavdhan,1bhk,62.5,0.6,37.74
Bhosari,1bhk,87.5,0.6,52.74
Bhugaon,1bhk,79.17,0.6,47.742000000000004
Bhukum,1bhk,83.33,0.8,50.318
Bhusari Colony,1bhk,68.75,0.6,41.49
Bibwewadi,1bhk,68.75,0.6,41.49
Boat Club Road,1bhk,0.0,0.6,0.24
Bopodi,1bhk,75.0,0.6,45.24
Camp,1bhk,50.0,0.6,30.24
Chakan,1bhk,97.92,0.4,58.91199999999999
Charholi,1bhk,85.42,0.6,51.492000000000004
Chikhali,1bhk,89.58,0.6,53.988
Chinchwad,1bhk,77.08,0.6,46.488
Dange Chowk,1bhk,64.58,0.6,38.988
Dapodi,1bhk,81.25,0.6,48.99
Deccan Gymkhana,1bhk,41.67,0.6,25.241999999999997
Dehu,1bhk,95.83,0.6,57.738
Dhankawadi,1bhk,91.67,0.6,55.242000000000004
Dhanori,1bhk,79.17,0.6,47.742000000000004
Dhayari,1bhk,87.5,0.6,52.74
Erandwane,1bhk,37.5,0.6,22.74
Fatima Nagar,1bhk,58.33,0.6,35.238
Fursungi,1bhk,89.58,0.6,53.988
Ghorpadi,1bhk,58.33,0.6,35.238
Hadapsar,1bhk,66.67,0.6,40.242000000000004
Hinjewadi,1bhk,56.25,0.6,33.99
Kalyani Nagar,1bhk,16.67,0.6,10.242
Karvenagar,1bhk,62.5,0.6,37.74
Karve Nagar,1bhk,79.17,0.6,47.742000000000004
Katraj,1bhk,83.33,0.6,50.238
Keshav Nagar,1bhk,68.75,0.6,41.49
Kesnand,1bhk,89.58,0.6,53.988
Khadki,1bhk,70.83,0.6,42.738
Kharadi,1bhk,45.83,0.6,27.737999999999996
Kiwale,1bhk,83.33,0.6,50.238
Kondhwa,1bhk,72.92,0.6,43.992000000000004
Koregaon Park,1bhk,8.33,0.6,5.238
Kothrud,1bhk,58.33,0.6,35.238
Lavale,1bhk,91.67,0.6,55.242000000000004
Lohegaon,1bhk,77.08,0.4,46.407999999999994
Loni Kalbhor,1bhk,95.83,0.6,57.738
Lulla Nagar,1bhk,56.25,0.6,33.99
Magarpatta,1bhk,37.5,0.6,22.74
Mahalunge,1bhk,75.0,0.6,45.24
Manjri,1bhk,83.33,0.6,50.238
Market Yard,1bhk,60.42,0.6,36.492000000000004
Model Colony,1bhk,29.17,0.6,17.741999999999997
Mohammadwadi,1bhk,68.75,0.6,41.49
Moshi,1bhk,87.5,0.6,52.74
Mundhwa,1bhk,60.42,0.6,36.492000000000004
Narhe,1bhk,85.42,0.6,51.492000000000004
Nibm,1bhk,56.25,0.6,33.99
Nigdi,1bhk,79.17,0.6,47.742000000000004
Pashan,1bhk,58.33,0.8,35.318
Paud Road,1bhk,60.42,0.6,36.492000000000004
Phursungi,1bhk,93.75,0.6,56.49
Pimple Gurav,1bhk,70.83,0.6,42.738
Pimple Nilakh,1bhk,54.17,0.6,32.742000000000004
Pimple Saudagar,1bhk,52.08,0.6,31.487999999999996
Pimpri Chinchwad,1bhk,75.0,0.6,45.24
Pirangut,1bhk,93.75,0.6,56.49
Pisoli,1bhk,91.67,0.6,55.242000000000004
Prabhat Road,1bhk,16.67,0.6,10.242
Punawale,1bhk,77.08,0.6,46.488
Rahatani,1bhk,66.67,0.6,40.242000000000004
Ravet,1bhk,75.0,0.6,45.24
Sangvi,1bhk,75.0,0.6,45.24
Saswad,1bhk,100.0,0.6,60.24
Sbroad,1bhk,33.33,0.6,20.237999999999996
Shewalewadi,1bhk,91.67,0.6,55.242000000000004
Shivajinagar,1bhk,33.33,0.6,20.237999999999996
Sinhagad Road,1bhk,77.08,0.6,46.488
Sus,1bhk,72.92,0.6,43.992000000000004
Sus Road,1bhk,75.0,0.6,45.24
Swargate,1bhk,66.67,0.6,40.242000000000004
Talegaon Dabhade,1bhk,95.83,0.6,57.738
Tathawade,1bhk,68.75,0.6,41.49
Thergaon,1bhk,70.83,0.6,42.738
Tingre Nagar,1bhk,64.58,0.6,38.988
Undri,1bhk,85.42,0.6,51.492000000000004
Uruli Kanchan,1bhk,97.92,0.6,58.992
Viman Nagar,1bhk,29.17,0.6,17.741999999999997
Vishrant Wadi,1bhk,66.67,0.6,40.242000000000004
Vishrantwadi,1bhk,85.42,0.6,51.492000000000004
Wadgaon Sheri,1bhk,60.42,0.6,36.492000000000004
Wagholi,1bhk,81.25,0.6,48.99
Wakad,1bhk,54.17,0.6,32.742000000000004
Wanwadi,1bhk,64.58,0.6,38.988
Warje,1bhk,70.83,0.6,42.738
Yerwada,1bhk,64.58,0.6,38.988
Yewalewadi,1bhk,91.67,0.6,55.242000000000004
